,Станция,latitude,longitude
0,Автозаводская станция,55.7051367,37.6548814
1,Академическая станция,55.6869981,37.5730388
2,Александровский сад,55.7521923,37.6134869286281
3,Алексеевская станция,55.8077123,37.6366001
4,Алма-Атинская,55.632749,37.7660616
5,Алтуфьево станция,55.8977069,37.587791
6,Андроновка,55.747033,37.7377737
7,Аннино станция,55.584127,37.5973657
8,Арбатская,55.7519281,37.6007612
9,Аэропорт,55.8026178,37.5402974
10,Авиамоторная ,55.7524571,37.7201118
11,Аминьевское шоссе ,55.7223557,37.4494888
12,Бабушкинская,55.87570925,37.6778151571772
13,Багратионовская,55.7436954,37.4978443
14,Балтийская москва,55.8258363,37.4964797
15,Баррикадная,55.7609121,37.5799394
16,Бауманская,55.7731188,37.6804
17,Беговая метро,55.774453,37.5449525
18,Белокаменная москва,55.8293089,37.7024844
19,Белорусская метро,55.7772446,37.5867057
20,Беляево,55.6465611,37.5193075
21,Бибирево,56.6515794,38.893618
22,Библиотека Ленина станция,55.752885,37.6115674
23,Битцевский парк,55.6203587,37.5263108760693
24,Борисово метро,55.6321803,37.7434094
25,Боровицкая,55.7509526,37.6069566
26,Боровское шоссе,55.631159,37.3216668
27,Ботанический сад метро,55.8438257,37.6362035
28,Братиславская,55.6597979,37.7506031
29,Бульвар адмирала Ушакова,55.5470769,37.5512874
30,Бульвар Дмитрия Донского,55.5769295,37.5788965
31,Бульвар Рокоссовского,55.817031,37.7373315
32,Бунинская Аллея,55.5381944,37.5165046
33,Бутырская метро,55.8076183,37.5814001
34,Варшавская метро,55.6535502,37.6182369
35,ВДНХ,55.83394645,37.62183349561
36,Верхние Котлы,55.6901311,37.6188659
37,Верхние Лихоборы,55.8518011,37.5662057
38,Владыкино метро,55.8455426,37.5897229
39,Водный стадион,55.8400444,37.4865846
40,Войковская,55.8176055,37.4998401
41,Волгоградский проспект,55.7051371,37.7683505
42,Волжская,55.6907877,37.7532713
43,Волоколамская,55.8355134,37.3822424
44,Воробьевы горы,55.709356,37.5423321
45,Выставочная метро,55.7524111,37.5411048
46,Выставочный центр,55.82400305,37.6383478074505
47,Выхино,55.7161695,37.8172254
48,Воронцовская москва,55.73421915,37.6589062070924
49,Говорово метро,55.660453,37.418442
50,Деловой центр москва,55.7475553,37.532032
51,Динамо,55.7913401,37.5598838139669
52,Дмитровская,55.8067137,37.5817655
53,Добрынинская,55.729148,37.6237142
54,Домодедовская,55.6108588,37.7186583
55,Достоевская,55.7812854,37.6148591
56,Дубровка,52.759441,30.37685
57,Жулебино,55.6937767,37.850983
58,ЗИЛ,55.69156525,37.6414111950949
59,Зорге москва,55.7884823,37.50425775
60,Зябликово,55.6206485,37.7461048
61,Измайлово,55.7966159,37.7841549
62,Измайловская москва,55.7877328,37.7816023
63,Калужская москва,55.6572552,37.5405847
64,Кантемировская,55.6357353,37.6565408
65,Каховская,55.6529714,37.5983627
66,Каширская,55.654962,37.6486874
67,Киевская москва,55.7444057,37.565318
68,Китай-город,55.7559536,37.6251632
69,Кожуховская,55.7074029,37.6846695
70,Коломенская,54.3703154,38.2491698
71,Комсомольская москва,55.7784041,37.6567616
72,Коньково метро,55.6348856,37.5182805
73,Коптево,55.833321,37.5225711
74,Котельники,55.661668,37.8673073
75,Красногвардейская метро,55.6141388,37.748647
76,Красносельская метро,55.7789664,37.6651459
77,Красные ворота метро,55.7699657,37.6516476
78,Крестьянская застава,55.7333223,37.6675064
79,Кропоткинская,55.7454887,37.603689
80,Крылатское,55.7621698,37.410882
81,Крымская москва,55.6898387,37.6057607
82,Кузнецкий мост москва,55.761854,37.6206835
83,Кузьминки москва,55.5631927,37.3385903
84,Кунцевская,55.7305945,37.4460143
85,Курская,55.7579973,37.6580796
86,Кутузовская,55.0911033,89.5930767
87,Кленовый бульвар москва,55.6837717,37.6735475
88,Косино москва,55.7164559,37.8590219
89,Кунцевская ,55.7305945,37.4460143
90,Ленинский проспект метро,55.7115287,37.5870552
91,Лермонтовский проспект метро,55.7008755,37.8519417
92,Лесопарковая метро,55.58168,37.5786426
93,Лихоборы метро,55.8546279,37.5603315
94,Локомотив,55.8036,37.745961
95,Ломоносовский проспект,55.6977447,37.5284833
96,Лубянка метро,55.760162,37.6261306
97,Лужники,55.71573425,37.5553760900059
98,Люблино,55.677325,37.755227
99,Лефортово ,55.7573988,37.7049319
100,Ломоносовский проспект,55.6977447,37.5284833
101,Лухмановская,55.7082325,37.9006174879927
102,Марксистская,55.7412546,37.6534447
103,Марьина роща,55.797837,37.6109903
104,Марьино,55.650711,37.7353743
105,Маяковская метро,55.766866,37.5924982
106,Медведково метро,55.8869472,37.6616726
107,Международная москва,55.7483636,37.5343361
108,Менделеевская москва,55.7809621,37.6011125
109,Минская москва,55.7247619,37.4967453
110,Митино,55.8454574,37.3670608
111,Мичуринский проспект,55.6702147,37.4491525
112,Молодёжная,-67.6658333,45.8425556
113,Мякинино,55.8080061,37.3757915
114,Нагатинская,55.6828925,37.6223775
115,Нагорная москва,55.6721392,37.6101617
116,Нахимовский Проспект,55.6699782,37.5851394
117,Нижегородская москва,55.7321929,37.7281427
118,Новогиреево,55.7487651,37.8061677
119,Новокосино,55.742273,37.8656486
120,Новокузнецкая,55.7414147,37.629373
121,Новопеределкино,55.6394433,37.3548853
122,Новослободская москва,55.7797618,37.603645
123,Новохохловская,55.7241462,37.7168875
124,Новоясеневская,55.6009308,37.5540749
125,Новые Черёмушки,55.6701631,37.5544462
126,Некрасовка москва,55.6841084,37.922905
127,Нижняя Масловка ,55.79720415,37.5973961071003
128,Озёрная метро,55.6700765,37.4493133
129,Окружная метро,55.8443364,37.5760596
130,Октябрьская москва,55.7298063,37.609684
131,Октябрьское поле,55.7933221,37.4937673
132,Орехово,55.613672,37.694264
133,Отрадное станция метро,55.8605835,37.6018767
134,Охотный ряд,55.7578301,37.6163299
135,Окская улица,55.7099952,37.7478499
136,Павелецкая,55.7322275,37.6378319
137,Панфиловская москва,55.7990098,37.4990272
138,Парк Культуры,55.7359131,37.5913851
139,Парк Победы москва,55.73607,37.517923
140,Партизанская москва,55.7886007,37.7509817
141,Первомайская,55.7947265,37.7993959
142,Перово москва,55.7358077,37.7644261
143,Петровский парк москва,55.794263,37.5556186158893
144,Петровско-Разумовская,55.8349897,37.5744209
145,Печатники,55.6849592,37.7236236
146,Пионерская москва,55.7359311,37.4671952
147,Планерная,55.860731,37.4363874
148,Площадь Гагарина,55.706981,37.5864244
149,Площадь Ильича,55.7471282,37.6833874
150,Площадь Революции,55.75706925,37.6194242506883
151,Полежаевская,55.777514,37.5193423
152,Полянка москва,55.7381116,37.6170438
153,Пражская,55.612388,37.6044242
154,Преображенская площадь,55.7956568,37.7138284
155,Пролетарская москва,55.7317991,37.6658821
156,Проспект Вернадского,55.6768257,37.5002093
157,Проспект Мира москва метро,55.7815206,37.6333592
158,Профсоюзная москва метро,55.6712087,37.5554048
159,Пушкинская москва,55.7653483,37.6073527
160,Пятницкое шоссе ,55.8561237,37.3542883
161,Петровский парк москва,55.794263,37.5556186158893
162,Раменки,55.7018348,37.5041069
163,Рассказовка,55.6306374,37.3339078
164,Речной вокзал москва,55.855,37.4761085
165,Рижская,55.7937093,37.6363021
166,Римская,55.746413,37.6831258
167,Ростокино,55.8357546,37.6574417
168,Румянцево метро,55.6329004,37.4440993
169,Рязанский проспект,55.7310123,37.7293282
170,Раменки,55.7018348,37.5041069
171,Ржевская ,55.7938555,37.6389776
172,Савёловская,55.7924478,37.5886512
173,Саларьево,55.6206384,37.4288519
174,Свиблово,55.8525603,37.6445393
175,Севастопольская метро,55.6518949,37.5986915
176,Селигерская,55.8666024,37.5470455
177,Семёновская метро москва,55.7841471,37.717875
178,Серпуховская,55.7281379,37.6245843
179,Славянский бульвар метро,55.727577,37.4737385
180,Смоленская,55.7474918,37.5817388
181,Сокол метро,55.8058657,37.5086044
182,Соколиная Гора метро ,55.7885695,37.7499586
183,Сокольники метро,55.7915781,37.6778158
184,Солнцево метро,55.6008939,37.4085098361975
185,Спартак station moscow,55.8183044,37.4357519
186,Спортивная,55.723483,37.5641093
187,Сретенский бульвар,55.7668388,37.6400647
188,Стрешнево,53.5004023,37.5153493
189,Строгино,55.8013351,37.4030525
190,Студенческая москва,55.7388362,37.5483675
191,Сухаревская москва,55.7731956,37.6310664
192,Сходненская,55.8504837,37.4396698
193,Севастопольский проспект,55.6880938,37.6039165
194,Стахановская москва,55.72623065,37.7538391909177
195,Таганская,55.741645,37.6510792
196,Тверская station moscow,55.7647965,37.6061167
197,Театральная,55.7575043,37.6190281
198,Текстильщики station moscow,55.7087389,37.7318594
199,Телецентр station moscow,55.82184075,37.6090794010367
200,Теплый стан station moscow,55.6184466,37.5009082
201,Технопарк,55.693627,37.6644041
202,Тимирязевская,55.8172505,37.5762244
203,Третьяковская,55.7410073,37.6271192
204,Тропарёво метро,55.6457432,37.4726872
205,Трубная,55.7690734,37.6194225
206,Тульская москва,55.7087385,37.6227879
207,Тургеневская,55.7664471,37.6372759
208,Тушинская,55.8264972,37.4368517
209,Текстильщики москва,55.7087389,37.7318594
210,Угрешская,55.7184497,37.6977066
211,Улица 1905 года метро,55.7655399,37.5602755
212,Улица Академика Королёва,55.8213307,37.6315225
213,Улица академика Янгеля,55.5952948,37.597689
214,Улица Горчакова,55.5417384,37.5306687
215,Улица Милашенкова метро,55.8238391,37.5866349
216,Улица Сергея Эйзенштейна,55.8319115,37.6410944
217,Улица Скобелевская,55.5481606,37.5545984
218,Улица Старокачаловская,55.5688666,37.5769159
219,Университет,55.692684,37.533525
220,Улица Дмитриевского ,55.7097672,37.8822004
221,Филевский парк,55.74698805,37.483228044432
222,Фили,55.7477499,37.5084653
223,Фонвизинская,55.8229569,37.5878093
224,Фрунзенская,55.7270106,37.5784934
225,Фонвизинская,55.8229569,37.5878093
226,Ховрино,55.8693575,37.4887954
227,Хорошёво ,55.7770638,37.5075449527799
228,Хорошёвская метро,55.777463,37.5226647
229,Царицыно,55.6214833,37.6692504
230,Цветной бульвар метро,55.7706419,37.6223819
231,ЦСКА,55.786561,37.5332007
232,Черкизовская,55.8038707,37.7449436
233,Чертановская,55.6404122,37.6066184
234,Чеховская station moscow,55.7648945,37.6089632
235,Чистые пруды station moscow,55.7658946,37.6388932
236,Чкаловская station moscow,55.7568632,37.6567226
237,Шаболовская,55.7199465,37.6077788
238,Шелепиха,55.7550871,37.5214012
239,Шипиловская,55.621144,37.743772
240,Шоссе Энтузиастов метро ,55.7577422,37.7516362
241,Щелковская москва,55.81081135,37.7977209972588
242,Щукинская,55.8085823,37.4643097
243,Электрозаводская,55.7818157,37.7036976
244,Юго-Западная,55.6636675,37.4831178
245,Южная москва,55.6222782,37.6091324
246,Ясенево,55.6062069,37.5337173
